iocterm,ArpEntryItem,-,CacheType,ARP Cache Type
iocterm,ArpEntryItem,-,IPv4Address,ARP IPv4 Address
iocterm,ArpEntryItem,-,Interface,ARP Interface
iocterm,ArpEntryItem,-,PhysicalAddress,ARP Physical Address
iocterm,CookieHistoryItem,-,BrowserName,CookieHistory Browser Name
iocterm,CookieHistoryItem,-,BrowserVersion,CookieHistory Browser Version
iocterm,CookieHistoryItem,-,CookieFlags,CookieHistory Cookie Flags
iocterm,CookieHistoryItem,-,CookieName,CookieHistory Cookie Name
iocterm,CookieHistoryItem,-,CookiePath,CookieHistory Cookie Path
iocterm,CookieHistoryItem,-,CookieValue,CookieHistory Cookie Value
iocterm,CookieHistoryItem,-,CreationDate,CookieHistory Creation Date
iocterm,CookieHistoryItem,-,ExpirationDate,CookieHistory Expiration Date
iocterm,CookieHistoryItem,-,FileName,CookieHistory File Name
iocterm,CookieHistoryItem,-,FilePath,CookieHistory File Path
iocterm,CookieHistoryItem,-,HostName,CookieHistory Host Name
iocterm,CookieHistoryItem,-,IsHttpOnly,CookieHistory IsHttpOnly
iocterm,CookieHistoryItem,-,IsSecure,CookieHistory IsSecure
iocterm,CookieHistoryItem,-,LastAccessedDate,CookieHistory Last Accessed Date
iocterm,CookieHistoryItem,-,LastModifiedDate,CookieHistory Last Modified Date
iocterm,CookieHistoryItem,-,Profile,CookieHistory Profile
iocterm,CookieHistoryItem,-,Username,CookieHistory Username
iocterm,DiskItem,-,DiskName,Disk Name
iocterm,DiskItem,-,DiskSize,Disk Size
iocterm,DiskItem,PartitionList,Partition,Disk Partition Length
iocterm,DiskItem,PartitionList,Partition,Disk Partition Number
iocterm,DiskItem,PartitionList,Partition,Disk Partition Offset
iocterm,DiskItem,PartitionList,Partition,Disk Partition Type
iocterm,DnsEntryItem,-,DataLength,DNS Data Length
iocterm,DnsEntryItem,-,Flags,DNS Flags
iocterm,DnsEntryItem,-,Host,DNS Host
iocterm,DnsEntryItem,RecordData,Host,DNS Record Data Host
iocterm,DnsEntryItem,RecordData,IPv4Address,DNS Record Data IPv4 Address
iocterm,DnsEntryItem,-,RecordName,DNS Record Name
